x	prime	fixed	sma	med	big
1	0.8555	0.4517	0.4426	0.4102	0.4044
2	0.7261	0.3285	0.2991	0.2902	0.2755
3	0.4568	0.3084	0.2525	0.2575	0.24
4	0.2806	0.2602	0.2427	0.2417	0.2196
5	0.2535	0.2578	0.2176	0.2266	0.2059
6	0.2199	0.2304	0.2037	0.2127	0.1896
7	0.2042	0.2326	0.1976	0.2044	0.1823
8	0.196	0.2276	0.191	0.2121	0.1693
9	0.1923	0.2246	0.1886	0.1991	0.1735
10	0.1738	0.2285	0.1782	0.1942	0.1685
11	0.1944	0.2196	0.1735	0.1815	0.1558
12	0.168	0.2164	0.1723	0.1787	0.1544
13	0.1662	0.2103	0.1623	0.1695	0.1467
14	0.1626	0.2171	0.1671	0.1685	0.1446
15	0.1567	0.2005	0.1629	0.1638	0.1434
16	0.1575	0.2093	0.159	0.1636	0.1454
17	0.1549	0.2058	0.1652	0.1652	0.1412
18	0.1559	0.1933	0.1558	0.1568	0.1397
19	0.1566	0.192	0.158	0.1555	0.1349
20	0.1563	0.1922	0.1532	0.1577	0.136
21	0.1515	0.1809	0.1459	0.1509	0.14
22	0.1501	0.1901	0.1514	0.1528	0.1328
23	0.15	0.1778	0.1525	0.1486	0.1346
24	0.1484	0.1907	0.1497	0.1518	0.1283
25	0.1498	0.185	0.1483	0.1535	0.127
26	0.1436	0.1832	0.1477	0.1452	0.1259
27	0.137	0.1825	0.153	0.1425	0.1282
28	0.147	0.1826	0.1497	0.1522	0.1296
29	0.1475	0.1723	0.1431	0.1394	0.1281
30	0.1436	0.1859	0.1488	0.1458	0.1227
31	0.137	0.1811	0.1392	0.1394	0.1229
32	0.1421	0.1885	0.1403	0.1378	0.1291
33	0.1336	0.1756	0.1354	0.1376	0.1263
34	0.1338	0.1818	0.1424	0.1321	0.1195
35	0.1398	0.1717	0.135	0.1301	0.1197
36	0.1412	0.1782	0.1385	0.1397	0.1205
37	0.1357	0.174	0.1349	0.133	0.1208
38	0.1348	0.1758	0.1326	0.1339	0.1229
39	0.1382	0.1741	0.1321	0.1263	0.1161
40	0.1342	0.1702	0.1349	0.132	0.1222
41	0.1337	0.1752	0.1303	0.1292	0.1169
42	0.1317	0.1728	0.1311	0.1266	0.1191
43	0.1279	0.1716	0.1289	0.1336	0.1219
44	0.1292	0.1697	0.1322	0.1274	0.1183
45	0.1163	0.1741	0.1313	0.1333	0.1172
46	0.1172	0.1748	0.1316	0.1258	0.1194
47	0.1143	0.1672	0.1282	0.1264	0.1184
48	0.1167	0.1758	0.127	0.1255	0.1141
49	0.1154	0.168	0.1331	0.1272	0.1166
50	0.1122	0.1726	0.1314	0.129	0.113
51	0.1149	0.1682	0.1247	0.1222	0.112
52	0.1135	0.1704	0.1243	0.1238	0.1152
